Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,George Adams\adamsge01,SF,24,SDA,80,,17.9,3.2,6.3,.500,0.0,0.1,.143,3.2,6.2,.505,.501,1.0,1.3,.757,1.6,2.7,4.3,1.6,0.6,0.3,1.5,1.4,7.3
2,Jim Ard\ardji01,C,25,MMT,27,,18.6,2.4,6.1,.402,0.1,0.1,1.000,2.4,6.0,.395,.409,1.5,1.9,.784,1.8,4.1,5.9,1.5,0.6,0.9,1.6,1.6,6.4
3,Bob Arnzen\arnzebo01,SF,26,INA,20,,7.5,1.2,2.4,.500,0.1,0.1,1.000,1.2,2.4,.489,.510,0.4,0.5,.778,0.5,0.5,1.0,0.2,0.2,0.1,0.4,0.6,2.8
4,Bird Averitt\averibi01,SG,21,SAA,74,,22.1,4.6,12.3,.376,0.1,0.7,.180,4.5,11.6,.387,.381,2.1,3.0,.696,0.6,1.0,1.6,1.8,0.9,0.1,1.9,2.2,11.5
5,Mike Barr\barrmi01,SG,23,VIR,45,,14.5,1.8,3.8,.480,0.0,0.1,.400,1.8,3.7,.482,.485,0.7,1.0,.767,0.5,1.1,1.6,1.8,0.6,0.1,1.3,1.8,4.4
6,Tim Bassett\basseti01,PF,22,SDA,82,,22.6,2.8,6.1,.467,0.0,0.0,.000,2.8,6.0,.471,.467,1.2,2.0,.593,3.1,4.2,7.3,1.3,0.7,0.4,1.1,2.3,6.9
7,Johnny Baum\baumjo01,SF,27,TOT,60,,20.3,3.0,6.7,.450,0.0,0.0,,3.0,6.7,.450,.450,0.8,1.0,.820,1.4,2.0,3.4,1.0,0.6,0.3,0.8,1.7,6.8
7,Johnny Baum\baumjo01,SF,27,MMT,47,,23.5,3.5,7.7,.448,0.0,0.0,,3.5,7.7,.448,.448,1.0,1.2,.842,1.5,2.3,3.7,1.3,0.6,0.3,0.9,1.8,8.0
7,Johnny Baum\baumjo01,SF,27,INA,13,,8.7,1.3,2.8,.472,0.0,0.0,,1.3,2.8,.472,.472,0.2,0.3,.500,0.9,1.0,1.9,0.2,0.5,0.2,0.5,1.3,2.8
8,John Beasley\beasljo01,PF,29,UTS,43,,11.2,1.7,4.2,.414,0.5,1.5,.344,1.2,2.7,.453,.475,0.2,0.3,.909,1.0,1.7,2.8,0.4,0.2,0.2,0.5,1.3,4.2
9,Zelmo Beaty*\beatyze01,PF,34,UTS,77,,32.2,5.4,10.3,.524,0.0,0.0,.000,5.4,10.3,.525,.524,2.5,3.2,.795,2.2,5.8,8.0,1.7,0.8,0.8,1.4,3.0,13.4
